Name	hw.model	Released	Connector	Firmware	ARM	Pixels	Points	@x	Inches
iPad mini 3 (Wi‑Fi)	iPad4,7	2014‑10‑24	Lightning	11+	arm64	2048x1536	1024x768	@2x	7.9
iPad mini 3 (LTE)	iPad4,8	2014‑10‑24	Lightning	11+	arm64	2048x1536	1024x768	@2x	7.9
iPad mini 3 (China)	iPad4,9	2014‑10‑24	Lightning	11+	arm64	2048x1536	1024x768	@2x	7.9
iPad mini 4 (Wi‑Fi)	iPad5,1	2015‑09‑09	Lightning	11+	arm64	2048x1536	1024x768	@2x	7.9
iPad mini 4 (LTE)	iPad5,2	2015‑09‑09	Lightning	11+	arm64	2048x1536	1024x768	@2x	7.9
iPod touch (1st generation)	iPod1,1	2007‑09‑14	30‑pin	3	armv6	320x480	320x480	@1x	3.5
iPod touch (2nd generation)	iPod2,1	2008‑09‑09	30‑pin	4	armv6	320x480	320x480	@1x	3.5
iPod touch (3rd generation)	iPod3,1	2009‑09‑09	30‑pin	5	armv7	320x480	320x480	@1x	3.5
iPod touch (4th generation)	iPod4,1	2010‑09‑08	30‑pin	6	armv7	640x960	320x480	@1x	3.5
iPod touch (5th generation)	iPod5,1	2012‑10‑15	Lightning	9	armv7	640x1136	320x568	@2x	4
iPod touch (6th generation)	iPod7,1	2015‑07‑15	Lightning	11+	arm64	640x1136	320x568	@2x	4
